,Region,Subregion,Country,No Data,Water,Artificial Bareground,Natural Bareground,Permanent Snow/Ice,Woody Vegetation,Cultivated Vegetation,(Semi) Natural Vegetation
19HGA_01,Americas,South America,Argentina,69,0,222,0,0,3513,57696,4036
19HGA_02,Americas,South America,Argentina,0,0,0,59392,0,0,1024,5120
19HGA_02,Americas,South America,Chile,0,0,0,59392,0,0,1024,5120
19HGA_03,Americas,South America,Argentina,0,0,0,0,0,4063,2048,59425
19HGA_03,Americas,South America,Chile,0,0,0,0,0,4063,2048,59425
19HGA_04,Americas,South America,Argentina,1,0,8,0,0,100,65411,16
19HGA_05,Americas,South America,Argentina,0,0,0,1024,0,0,61439,3073
19HGA_06,Americas,South America,Argentina,0,0,105,971,0,0,59454,5006
19HGA_07,Americas,South America,Argentina,0,0,26,0,0,2955,8879,53676
19HGA_08,Americas,South America,Argentina,0,0,0,0,0,0,58785,6751
19HGA_08,Americas,South America,Chile,0,0,0,0,0,0,58785,6751
19HGA_09,Americas,South America,Argentina,0,0,0,0,0,8,60408,5120
19HGA_09,Americas,South America,Chile,0,0,0,0,0,8,60408,5120
19HGA_10,Americas,South America,Argentina,9,0,11,6143,0,0,56874,2499
19HGA_11,Americas,South America,Argentina,0,0,272,0,79,1824,62191,1170
19HGA_12,Americas,South America,Argentina,0,0,130,0,0,0,62573,2833
19HGA_13,Americas,South America,Argentina,0,0,371,0,0,0,63920,1245
19HGA_14,Americas,South America,Argentina,0,0,86,0,0,40,61371,4039
19HGA_15,Americas,South America,Argentina,0,0,28,0,0,0,65508,0
19HGA_16,Americas,South America,Argentina,1,0,77,0,0,0,65458,0
19HGA_16,Americas,South America,Chile,1,0,77,0,0,0,65458,0
19HGA_17,Americas,South America,Argentina,3,4,145,1024,0,0,61201,3159
19HGA_18,Americas,South America,Argentina,0,0,15,4567,0,0,42036,18918
19HGA_18,Americas,South America,Chile,0,0,15,4567,0,0,42036,18918
19HGA_19,Americas,South America,Argentina,0,0,0,0,0,163,44032,21341
19HGA_19,Americas,South America,Chile,0,0,0,0,0,163,44032,21341
19HGA_20,Americas,South America,Argentina,0,0,0,0,0,0,65536,0
19HGA_21,Americas,South America,Argentina,0,0,0,0,0,0,65536,0
19HGA_22,Americas,South America,Argentina,0,400,0,77,0,0,54830,10229
19HGA_22,Americas,South America,Chile,0,400,0,77,0,0,54830,10229
19HGA_23,Americas,South America,Argentina,175,0,79,0,0,86,29477,35719
19HGA_24,Americas,South America,Argentina,0,0,21,0,0,0,65330,185
19HGA_24,Americas,South America,Chile,0,0,21,0,0,0,65330,185
19HGA_25,Americas,South America,Argentina,77,864,27,0,0,28174,35636,758
19HGA_25,Americas,South America,Chile,77,864,27,0,0,28174,35636,758
19HGA_26,Americas,South America,Argentina,861,0,634,0,0,7211,38063,18767
19HGA_27,Americas,South America,Argentina,112,0,30,0,0,31940,2876,30578
19HGA_28,Americas,South America,Argentina,110,0,31,0,0,0,57133,8262
19HGA_29,Americas,South America,Argentina,0,0,0,0,0,0,65536,0
19HGA_29,Americas,South America,Chile,0,0,0,0,0,0,65536,0
19KFA_00,Americas,South America,Bolivia,0,65536,0,0,0,0,0,0
19KFA_00,Americas,South America,Brazil,0,65536,0,0,0,0,0,0
19KFA_00,Americas,South America,Chile,0,65536,0,0,0,0,0,0
19KFA_01,Americas,South America,Bolivia,167,42486,828,20432,0,0,3,1620
19KFA_01,Americas,South America,Brazil,167,42486,828,20432,0,0,3,1620
19KFA_01,Americas,South America,Chile,167,42486,828,20432,0,0,3,1620
19KFA_02,Americas,South America,Bolivia,0,0,17,65519,0,0,0,0
19KFA_02,Americas,South America,Brazil,0,0,17,65519,0,0,0,0
19KFA_02,Americas,South America,Chile,0,0,17,65519,0,0,0,0
19KFA_03,Americas,South America,Bolivia,3,632,4825,2866,786,9,245,56170
19KFA_03,Americas,South America,Brazil,3,632,4825,2866,786,9,245,56170
19KFA_04,Americas,South America,Bolivia,784,6,2536,3992,0,25532,27046,5640
19KFA_04,Americas,South America,Brazil,784,6,2536,3992,0,25532,27046,5640
19KFA_04,Americas,South America,Chile,784,6,2536,3992,0,25532,27046,5640
19KFA_05,Americas,South America,Bolivia,3018,0,1855,0,0,1225,57771,1667
19KFA_05,Americas,South America,Brazil,3018,0,1855,0,0,1225,57771,1667
19KFA_06,Americas,South America,Bolivia,0,75,1049,0,0,64,70,64278
19KFA_06,Americas,South America,Brazil,0,75,1049,0,0,64,70,64278
19KFA_06,Americas,South America,Chile,0,75,1049,0,0,64,70,64278
19KFA_07,Americas,South America,Bolivia,2417,303,5609,32,8,3627,51824,1716
19KFA_07,Americas,South America,Brazil,2417,303,5609,32,8,3627,51824,1716
19KFA_07,Americas,South America,Chile,2417,303,5609,32,8,3627,51824,1716
19KFA_08,Americas,South America,Bolivia,890,0,2132,27305,0,39,34945,225
19KFA_08,Americas,South America,Brazil,890,0,2132,27305,0,39,34945,225
19KFA_08,Americas,South America,Chile,890,0,2132,27305,0,39,34945,225
19KFA_09,Americas,South America,Bolivia,43,241,10546,0,39,670,1219,52778
19KFA_09,Americas,South America,Brazil,43,241,10546,0,39,670,1219,52778
19KFA_09,Americas,South America,Chile,43,241,10546,0,39,670,1219,52778
19KFA_10,Americas,South America,Bolivia,230,28,19516,0,651,315,4112,40684
19KFA_10,Americas,South America,Brazil,230,28,19516,0,651,315,4112,40684
19KFA_11,Americas,South America,Bolivia,388,0,10,1572,0,4,62640,922
19KFA_11,Americas,South America,Brazil,388,0,10,1572,0,4,62640,922
19KFA_11,Americas,South America,Chile,388,0,10,1572,0,4,62640,922
19KFA_12,Americas,South America,Bolivia,2681,0,5246,1161,0,252,48297,7899
19KFA_12,Americas,South America,Brazil,2681,0,5246,1161,0,252,48297,7899
19KFA_12,Americas,South America,Chile,2681,0,5246,1161,0,252,48297,7899
19KFA_13,Americas,South America,Bolivia,94,2157,38615,0,216,365,2073,22016
19KFA_13,Americas,South America,Brazil,94,2157,38615,0,216,365,2073,22016
19KFA_14,Americas,South America,Bolivia,0,1014,16311,0,249,245,716,47001
19KFA_14,Americas,South America,Brazil,0,1014,16311,0,249,245,716,47001
19KFA_14,Americas,South America,Chile,0,1014,16311,0,249,245,716,47001
19KFA_15,Americas,South America,Bolivia,2138,0,2797,311,0,6311,50523,3456
19KFA_15,Americas,South America,Brazil,2138,0,2797,311,0,6311,50523,3456
19KFA_16,Americas,South America,Bolivia,2584,0,3942,0,0,436,54978,3596
19KFA_16,Americas,South America,Brazil,2584,0,3942,0,0,436,54978,3596
19KFA_17,Americas,South America,Bolivia,1,583,8644,0,321,287,29,55671
19KFA_17,Americas,South America,Brazil,1,583,8644,0,321,287,29,55671
19KFA_17,Americas,South America,Chile,1,583,8644,0,321,287,29,55671
19KFA_18,Americas,South America,Bolivia,1162,0,476,66,0,72,62030,1730
19KFA_18,Americas,South America,Brazil,1162,0,476,66,0,72,62030,1730
19KFA_18,Americas,South America,Chile,1162,0,476,66,0,72,62030,1730
19KFA_19,Americas,South America,Bolivia,990,0,3260,430,0,3630,48591,8635
19KFA_19,Americas,South America,Brazil,990,0,3260,430,0,3630,48591,8635
19KFA_19,Americas,South America,Chile,990,0,3260,430,0,3630,48591,8635
19KFA_20,Americas,South America,Bolivia,997,0,6353,7701,0,17,46336,4132
19KFA_20,Americas,South America,Brazil,997,0,6353,7701,0,17,46336,4132
19KFA_20,Americas,South America,Chile,997,0,6353,7701,0,17,46336,4132
19KFA_21,Americas,South America,Bolivia,1180,18,6649,0,0,123,49231,8335
19KFA_21,Americas,South America,Brazil,1180,18,6649,0,0,123,49231,8335
19KFA_22,Americas,South America,Bolivia,228,0,6240,2443,0,10638,36700,9287
19KFA_22,Americas,South America,Brazil,228,0,6240,2443,0,10638,36700,9287
19KFA_22,Americas,South America,Chile,228,0,6240,2443,0,10638,36700,9287
19KFA_23,Americas,South America,Bolivia,888,0,2542,20061,0,149,20172,21724
19KFA_23,Americas,South America,Brazil,888,0,2542,20061,0,149,20172,21724
19KFA_23,Americas,South America,Chile,888,0,2542,20061,0,149,20172,21724
19KFA_24,Americas,South America,Bolivia,62,147,25853,6100,63,0,6337,26974
19KFA_24,Americas,South America,Brazil,62,147,25853,6100,63,0,6337,26974
19KFA_24,Americas,South America,Chile,62,147,25853,6100,63,0,6337,26974
19KFA_25,Americas,South America,Bolivia,32,211,4663,1204,0,8,44484,14934
19KFA_25,Americas,South America,Brazil,32,211,4663,1204,0,8,44484,14934
19KFA_25,Americas,South America,Chile,32,211,4663,1204,0,8,44484,14934
19KFA_26,Americas,South America,Bolivia,1253,33,62,3881,0,117,59102,1088
19KFA_26,Americas,South America,Brazil,1253,33,62,3881,0,117,59102,1088
19KFA_26,Americas,South America,Chile,1253,33,62,3881,0,117,59102,1088
19KFA_27,Americas,South America,Bolivia,360,744,2958,1058,0,170,57423,2823
19KFA_27,Americas,South America,Brazil,360,744,2958,1058,0,170,57423,2823
19KFA_27,Americas,South America,Chile,360,744,2958,1058,0,170,57423,2823
19KFA_28,Americas,South America,Bolivia,1079,166,3759,34,7,316,43634,16541
19KFA_28,Americas,South America,Brazil,1079,166,3759,34,7,316,43634,16541
19KFA_29,Americas,South America,Bolivia,35,0,85,0,0,1248,63084,1084
19KFA_29,Americas,South America,Brazil,35,0,85,0,0,1248,63084,1084
19KFA_29,Americas,South America,Chile,35,0,85,0,0,1248,63084,1084
19KHV_00,Americas,South America,Bolivia,5,2730,811,45844,229,10513,174,5230
19KHV_00,Americas,South America,Brazil,5,2730,811,45844,229,10513,174,5230
19KHV_01,Americas,South America,Bolivia,160,0,61374,1468,19,455,182,1878
19KHV_01,Americas,South America,Brazil,160,0,61374,1468,19,455,182,1878
19KHV_02,Americas,South America,Bolivia,0,0,1086,63042,0,4,1119,285
19KHV_02,Americas,South America,Brazil,0,0,1086,63042,0,4,1119,285
19KHV_03,Americas,South America,Bolivia,0,0,132,57831,3,19,0,7551
19KHV_03,Americas,South America,Brazil,0,0,132,57831,3,19,0,7551
19KHV_04,Americas,South America,Bolivia,0,0,15,43136,0,9910,0,12475
19KHV_04,Americas,South America,Brazil,0,0,15,43136,0,9910,0,12475
19KHV_05,Americas,South America,Bolivia,45,1213,281,1024,0,976,60604,1393
19KHV_05,Americas,South America,Brazil,45,1213,281,1024,0,976,60604,1393
19KHV_06,Americas,South America,Bolivia,0,0,0,39208,0,0,2396,23932
19KHV_06,Americas,South America,Brazil,0,0,0,39208,0,0,2396,23932
19KHV_07,Americas,South America,Bolivia,0,0,0,51707,0,991,0,12838
19KHV_07,Americas,South America,Brazil,0,0,0,51707,0,991,0,12838
19KHV_08,Americas,South America,Bolivia,0,0,19,55350,1,0,1975,8191
19KHV_08,Americas,South America,Brazil,0,0,19,55350,1,0,1975,8191
19KHV_09,Americas,South America,Bolivia,0,0,5,55244,0,3,1811,8473
19KHV_09,Americas,South America,Brazil,0,0,5,55244,0,3,1811,8473
19KHV_10,Americas,South America,Bolivia,0,0,2,62863,0,664,1,2006
19KHV_10,Americas,South America,Brazil,0,0,2,62863,0,664,1,2006
19KHV_11,Americas,South America,Bolivia,89,0,346,49748,18,1726,336,13273
19KHV_11,Americas,South America,Brazil,89,0,346,49748,18,1726,336,13273
19KHV_12,Americas,South America,Bolivia,3,0,223,26870,318,1665,2696,33761
19KHV_12,Americas,South America,Brazil,3,0,223,26870,318,1665,2696,33761
19KHV_13,Americas,South America,Bolivia,320,99,8355,1509,2967,25676,799,25811
19KHV_13,Americas,South America,Brazil,320,99,8355,1509,2967,25676,799,25811
19KHV_14,Americas,South America,Bolivia,67,1,9078,12284,5722,7378,1379,29627
19KHV_14,Americas,South America,Brazil,67,1,9078,12284,5722,7378,1379,29627
19KHV_15,Americas,South America,Bolivia,0,70,718,10322,111,27961,309,26045
19KHV_15,Americas,South America,Brazil,0,70,718,10322,111,27961,309,26045
19KHV_16,Americas,South America,Bolivia,902,5,4236,42408,431,4759,5774,7021
19KHV_16,Americas,South America,Brazil,902,5,4236,42408,431,4759,5774,7021
19KHV_17,Americas,South America,Bolivia,921,0,3080,38959,44,6844,3001,12687
19KHV_17,Americas,South America,Brazil,921,0,3080,38959,44,6844,3001,12687
19KHV_18,Americas,South America,Bolivia,0,0,25,39509,0,6247,14000,5755
19KHV_18,Americas,South America,Brazil,0,0,25,39509,0,6247,14000,5755
19KHV_19,Americas,South America,Bolivia,361,19,4366,39934,1451,5853,2443,11109
19KHV_19,Americas,South America,Brazil,361,19,4366,39934,1451,5853,2443,11109
19KHV_20,Americas,South America,Bolivia,497,10,3756,35847,779,6134,3653,14860
19KHV_20,Americas,South America,Brazil,497,10,3756,35847,779,6134,3653,14860
19KHV_21,Americas,South America,Bolivia,24,1990,2944,19535,2300,17636,1085,20022
19KHV_21,Americas,South America,Brazil,24,1990,2944,19535,2300,17636,1085,20022
19KHV_22,Americas,South America,Bolivia,897,27,3291,35983,1243,7017,2081,14997
19KHV_22,Americas,South America,Brazil,897,27,3291,35983,1243,7017,2081,14997
19KHV_23,Americas,South America,Bolivia,116,612,1555,31571,1114,2928,37,27603
19KHV_23,Americas,South America,Brazil,116,612,1555,31571,1114,2928,37,27603
19KHV_24,Americas,South America,Bolivia,3,974,2604,9616,0,1509,10100,40730
19KHV_24,Americas,South America,Brazil,3,974,2604,9616,0,1509,10100,40730
19KHV_25,Americas,South America,Bolivia,4,0,163,57825,0,0,6866,678
19KHV_25,Americas,South America,Brazil,4,0,163,57825,0,0,6866,678
19KHV_26,Americas,South America,Bolivia,6,0,339,33890,0,4141,175,26985
19KHV_26,Americas,South America,Brazil,6,0,339,33890,0,4141,175,26985
19KHV_27,Americas,South America,Bolivia,2,0,748,45779,0,0,287,18720
19KHV_27,Americas,South America,Brazil,2,0,748,45779,0,0,287,18720
19KHV_28,Americas,South America,Bolivia,0,0,163,51749,0,1128,163,12333
19KHV_28,Americas,South America,Brazil,0,0,163,51749,0,1128,163,12333
19KHV_29,Americas,South America,Bolivia,296,0,1042,55138,56,1656,409,6939
19KHV_29,Americas,South America,Brazil,296,0,1042,55138,56,1656,409,6939
19LCK_00,Americas,South America,Brazil,351,10825,4,432,0,35310,0,18614
19LCK_00,Americas,South America,Peru,351,10825,4,432,0,35310,0,18614
19LCK_01,Americas,South America,Brazil,255,5582,6131,1431,0,23576,4,28557
19LCK_01,Americas,South America,Peru,255,5582,6131,1431,0,23576,4,28557
19LCK_02,Americas,South America,Brazil,901,11402,36,1889,0,25374,66,25868
19LCK_02,Americas,South America,Peru,901,11402,36,1889,0,25374,66,25868
19LCK_03,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19LCK_03,Americas,South America,Peru,0,0,0,0,0,65536,0,0
19LCK_04,Americas,South America,Brazil,60,657,4177,0,0,16639,0,44003
19LCK_04,Americas,South America,Peru,60,657,4177,0,0,16639,0,44003
19LCK_05,Americas,South America,Brazil,0,0,0,0,0,60660,0,4876
19LCK_05,Americas,South America,Peru,0,0,0,0,0,60660,0,4876
19LCK_06,Americas,South America,Brazil,0,0,0,0,0,64277,0,1259
19LCK_06,Americas,South America,Peru,0,0,0,0,0,64277,0,1259
19LCK_07,Americas,South America,Brazil,0,0,0,0,0,64212,0,1324
19LCK_07,Americas,South America,Peru,0,0,0,0,0,64212,0,1324
19LCK_08,Americas,South America,Brazil,0,0,0,0,0,63576,0,1960
19LCK_08,Americas,South America,Peru,0,0,0,0,0,63576,0,1960
19LCK_09,Americas,South America,Brazil,0,0,0,0,0,63020,0,2516
19LCK_09,Americas,South America,Peru,0,0,0,0,0,63020,0,2516
19LCK_10,Americas,South America,Brazil,0,0,0,0,0,64819,0,717
19LCK_10,Americas,South America,Peru,0,0,0,0,0,64819,0,717
19LCK_11,Americas,South America,Brazil,0,0,0,0,0,64433,0,1103
19LCK_11,Americas,South America,Peru,0,0,0,0,0,64433,0,1103
19LCK_12,Americas,South America,Brazil,0,0,0,0,0,65327,0,209
19LCK_12,Americas,South America,Peru,0,0,0,0,0,65327,0,209
19LCK_13,Americas,South America,Brazil,0,0,0,0,0,64431,0,1105
19LCK_13,Americas,South America,Peru,0,0,0,0,0,64431,0,1105
19LCK_14,Americas,South America,Brazil,52,157,522,0,0,62526,0,2279
19LCK_14,Americas,South America,Peru,52,157,522,0,0,62526,0,2279
19LCK_15,Americas,South America,Brazil,585,4172,2,12,0,54361,0,6404
19LCK_15,Americas,South America,Peru,585,4172,2,12,0,54361,0,6404
19LCK_16,Americas,South America,Brazil,0,0,0,0,0,64639,0,897
19LCK_16,Americas,South America,Peru,0,0,0,0,0,64639,0,897
19LCK_17,Americas,South America,Brazil,312,1549,0,38,0,62413,0,1224
19LCK_17,Americas,South America,Peru,312,1549,0,38,0,62413,0,1224
19LCK_18,Americas,South America,Brazil,0,0,0,0,0,61204,0,4332
19LCK_18,Americas,South America,Peru,0,0,0,0,0,61204,0,4332
19LCK_19,Americas,South America,Brazil,0,0,0,0,0,64058,0,1478
19LCK_19,Americas,South America,Peru,0,0,0,0,0,64058,0,1478
19LCK_20,Americas,South America,Brazil,0,0,0,0,0,63278,0,2258
19LCK_20,Americas,South America,Peru,0,0,0,0,0,63278,0,2258
19LCK_21,Americas,South America,Brazil,0,0,0,0,0,64856,0,680
19LCK_21,Americas,South America,Peru,0,0,0,0,0,64856,0,680
19LCK_22,Americas,South America,Brazil,0,0,0,0,0,65394,0,142
19LCK_22,Americas,South America,Peru,0,0,0,0,0,65394,0,142
19LCK_23,Americas,South America,Brazil,0,0,0,0,0,60782,0,4754
19LCK_23,Americas,South America,Peru,0,0,0,0,0,60782,0,4754
19LCK_24,Americas,South America,Brazil,0,0,0,0,0,64012,0,1524
19LCK_24,Americas,South America,Peru,0,0,0,0,0,64012,0,1524
19LCK_25,Americas,South America,Brazil,0,0,0,0,0,65406,0,130
19LCK_25,Americas,South America,Peru,0,0,0,0,0,65406,0,130
19LCK_26,Americas,South America,Brazil,0,0,0,0,0,65021,0,515
19LCK_26,Americas,South America,Peru,0,0,0,0,0,65021,0,515
19LCK_27,Americas,South America,Brazil,0,0,0,0,0,64819,0,717
19LCK_27,Americas,South America,Peru,0,0,0,0,0,64819,0,717
19LCK_28,Americas,South America,Brazil,0,0,0,0,0,62794,0,2742
19LCK_28,Americas,South America,Peru,0,0,0,0,0,62794,0,2742
19LCK_29,Americas,South America,Brazil,0,0,0,0,0,63478,0,2058
19LCK_29,Americas,South America,Peru,0,0,0,0,0,63478,0,2058
19MFU_00,Americas,South America,Brazil,0,58591,0,0,0,6568,0,377
19MFU_00,Americas,South America,Colombia,0,58591,0,0,0,6568,0,377
19MFU_01,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_01,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_02,Americas,South America,Brazil,0,39,0,0,0,65436,0,61
19MFU_02,Americas,South America,Colombia,0,39,0,0,0,65436,0,61
19MFU_03,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_03,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_04,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_04,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_05,Americas,South America,Brazil,16,0,0,0,0,65520,0,0
19MFU_05,Americas,South America,Colombia,16,0,0,0,0,65520,0,0
19MFU_06,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_06,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_07,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_07,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_08,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_08,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_09,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_09,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_10,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_10,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_11,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_11,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_12,Americas,South America,Brazil,22,11913,0,0,0,53601,0,0
19MFU_12,Americas,South America,Colombia,22,11913,0,0,0,53601,0,0
19MFU_13,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_13,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_14,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_14,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_15,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_15,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_16,Americas,South America,Brazil,4,0,0,0,0,65532,0,0
19MFU_16,Americas,South America,Colombia,4,0,0,0,0,65532,0,0
19MFU_17,Americas,South America,Brazil,0,482,0,0,0,65054,0,0
19MFU_17,Americas,South America,Colombia,0,482,0,0,0,65054,0,0
19MFU_18,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_18,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_19,Americas,South America,Brazil,48,4,0,0,0,65484,0,0
19MFU_19,Americas,South America,Colombia,48,4,0,0,0,65484,0,0
19MFU_20,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_20,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_21,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_21,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_22,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_22,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_23,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_23,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_24,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_24,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_25,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_25,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_26,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_26,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_27,Americas,South America,Brazil,20,0,0,0,0,65516,0,0
19MFU_27,Americas,South America,Colombia,20,0,0,0,0,65516,0,0
19MFU_28,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_28,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MFU_29,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19MFU_29,Americas,South America,Colombia,0,0,0,0,0,65536,0,0
19MHM_00,Americas,South America,Brazil,0,18604,0,0,0,40509,0,6423
19MHM_01,Americas,South America,Brazil,1352,27038,0,0,0,15978,0,21168
19MHM_02,Americas,South America,Brazil,0,0,0,0,0,65449,0,87
19MHM_03,Americas,South America,Brazil,6,3593,0,14,0,3384,0,58539
19MHM_04,Americas,South America,Brazil,0,0,0,0,0,61624,0,3912
19MHM_05,Americas,South America,Brazil,0,2360,0,0,0,56691,0,6485
19MHM_06,Americas,South America,Brazil,0,0,0,0,0,56729,0,8807
19MHM_07,Americas,South America,Brazil,0,0,0,0,0,63195,0,2341
19MHM_08,Americas,South America,Brazil,0,0,0,0,0,60473,0,5063
19MHM_09,Americas,South America,Brazil,0,0,0,0,0,64282,0,1254
19MHM_10,Americas,South America,Brazil,0,0,0,0,0,62420,0,3116
19MHM_11,Americas,South America,Brazil,0,0,0,0,0,63636,0,1900
19MHM_12,Americas,South America,Brazil,218,10759,0,0,0,43415,0,11144
19MHM_13,Americas,South America,Brazil,2,2909,0,0,0,57063,0,5562
19MHM_14,Americas,South America,Brazil,0,0,0,0,0,64781,0,755
19MHM_15,Americas,South America,Brazil,0,0,0,0,0,64548,0,988
19MHM_16,Americas,South America,Brazil,0,0,0,0,0,65414,0,122
19MHM_17,Americas,South America,Brazil,0,0,0,0,0,65490,0,46
19MHM_18,Americas,South America,Brazil,0,430,0,0,0,64634,0,472
19MHM_19,Americas,South America,Brazil,0,0,28,0,0,57156,0,8352
19MHM_20,Americas,South America,Brazil,0,0,0,0,0,63534,0,2002
19MHM_21,Americas,South America,Brazil,6,9,0,0,0,59818,0,5703
19MHM_22,Americas,South America,Brazil,83,8892,0,412,0,40471,0,15678
19MHM_23,Americas,South America,Brazil,0,0,0,0,0,65387,0,149
19MHM_24,Americas,South America,Brazil,0,5369,0,0,0,50493,0,9674
19MHM_25,Americas,South America,Brazil,0,0,0,0,0,64965,0,571
19MHM_26,Americas,South America,Brazil,0,0,0,0,0,65252,0,284
19MHM_27,Americas,South America,Brazil,0,0,0,0,0,49467,0,16069
19MHM_28,Americas,South America,Brazil,0,0,0,0,0,60603,0,4933
19MHM_29,Americas,South America,Brazil,0,58,0,0,0,54497,0,10981
19NHC_00,Americas,South America,Brazil,0,10449,0,0,0,54190,0,897
19NHC_00,Americas,South America,Venezuela,0,10449,0,0,0,54190,0,897
19NHC_01,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19NHC_01,Americas,South America,Venezuela,0,0,0,0,0,65536,0,0
19NHC_02,Americas,South America,Brazil,0,0,0,0,0,670,0,64866
19NHC_02,Americas,South America,Venezuela,0,0,0,0,0,670,0,64866
19NHC_03,Americas,South America,Brazil,0,0,0,0,0,65447,0,89
19NHC_03,Americas,South America,Venezuela,0,0,0,0,0,65447,0,89
19NHC_04,Americas,South America,Brazil,0,0,0,0,0,65534,0,2
19NHC_04,Americas,South America,Venezuela,0,0,0,0,0,65534,0,2
19NHC_05,Americas,South America,Brazil,0,0,0,0,0,65475,0,61
19NHC_05,Americas,South America,Venezuela,0,0,0,0,0,65475,0,61
19NHC_06,Americas,South America,Brazil,0,0,0,0,0,58814,0,6722
19NHC_06,Americas,South America,Venezuela,0,0,0,0,0,58814,0,6722
19NHC_07,Americas,South America,Brazil,0,0,0,0,0,65536,0,0
19NHC_07,Americas,South America,Venezuela,0,0,0,0,0,65536,0,0
19NHC_08,Americas,South America,Brazil,0,0,0,0,0,65518,0,18
19NHC_08,Americas,South America,Venezuela,0,0,0,0,0,65518,0,18
19NHC_09,Americas,South America,Brazil,0,0,0,0,0,65375,0,161
19NHC_09,Americas,South America,Venezuela,0,0,0,0,0,65375,0,161
19NHC_10,Americas,South America,Brazil,0,0,0,0,0,65355,0,181
19NHC_10,Americas,South America,Venezuela,0,0,0,0,0,65355,0,181
19NHC_11,Americas,South America,Brazil,0,0,0,0,0,65430,0,106
19NHC_11,Americas,South America,Venezuela,0,0,0,0,0,65430,0,106
19NHC_12,Americas,South America,Brazil,0,5743,0,0,0,59736,0,57
19NHC_12,Americas,South America,Venezuela,0,5743,0,0,0,59736,0,57
19NHC_13,Americas,South America,Brazil,0,0,0,0,0,65511,0,25
19NHC_13,Americas,South America,Venezuela,0,0,0,0,0,65511,0,25
19NHC_14,Americas,South America,Brazil,0,0,0,0,0,64763,0,773
19NHC_14,Americas,South America,Venezuela,0,0,0,0,0,64763,0,773
19NHC_15,Americas,South America,Brazil,0,0,0,0,0,65146,0,390
19NHC_15,Americas,South America,Venezuela,0,0,0,0,0,65146,0,390
19NHC_16,Americas,South America,Brazil,0,0,0,0,0,65534,0,2
19NHC_16,Americas,South America,Venezuela,0,0,0,0,0,65534,0,2
19NHC_17,Americas,South America,Brazil,0,349,0,0,0,65003,0,184
19NHC_17,Americas,South America,Venezuela,0,349,0,0,0,65003,0,184
19NHC_18,Americas,South America,Brazil,0,5487,0,0,0,59812,0,237
19NHC_18,Americas,South America,Venezuela,0,5487,0,0,0,59812,0,237
19NHC_19,Americas,South America,Brazil,0,0,0,0,0,64859,0,677
